id;nazwa;info_zab;cena
"19595";"Oki C301/C310/C510/ES5430 toner cyan";"0.0";"0.0"
"39361";"Oki C301/C310/C510/ES5430 toner magenta";"0.0";"0.0"
"19604";"Oki C301/C310/C510/ES5430 toner yellow";"0.0";"0.0"
"47694";"Oki C3100 drum 42126641 yellow OPC";"0.0";"0.0"
"47692";"Oki C3100 drum 42126642 magenta OPC";"0.0";"0.0"
"47691";"Oki C3100 drum 42126643 cyan OPC";"0.0";"0.0"
"47865";"Oki C3100 drum 42126644 black OPC";"0.0";"0.0"
"39378";"Oki C3100 toner 42804513 yellow";"0.0";"0.0"
"39377";"Oki C3100 toner 42804514 magenta";"0.0";"0.0"
"39372";"Oki C3100 toner 42804515 cyan";"0.0";"0.0"
"39351";"Oki C3100 toner 42804516 black";"0.0";"0.0"
"47706";"Oki C3200 drum 42126662 yellow OPC";"0.0";"0.0"
"47705";"Oki C3200 drum 42126663 magenta OPC";"0.0";"0.0"
"47704";"Oki C3200 drum 42126664 cyan OPC";"0.0";"0.0"
"47866";"Oki C3200 drum 42126665 black OPC";"0.0";"0.0"
"47703";"Oki C3200 toner 43034805, 42804537 yello";"0.0";"0.0"
"47700";"Oki C3200 toner 43034806, 42804538 magen";"0.0";"0.0"
"47698";"Oki C3200 toner 43034807, 42804539 cyan";"0.0";"0.0"
"47639";"Oki C3200 toner 43034808, 42804540 black";"0.0";"0.0"
"39458";"Oki C3300 drum 43460205 yellow OPC";"ZB";"0.0"
"39454";"Oki C3300 drum 43460206 magenta OPC";"ZB";"0.0"
"39445";"Oki C3300 drum 43460207 cyan OPC";"ZB";"0.0"
"39779";"Oki C3300 drum 43460208 black OPC";"ZB";"0.0"
"39440";"Oki C3300 toner 43459329 yellow";"ZB";"0.0"
"39439";"Oki C3300 toner 43459330 magenta";"ZB";"0.0"
"39437";"Oki C3300 toner 43459331 cyan";"ZB";"0.0"
"39374";"Oki C3300 toner 43459332 black";"ZB";"0.0"
"40701";"Oki C332 toner 46508709, 46508713 yellow";"ZB";"0.0"
"40702";"Oki C332 toner 46508710, 46508714 magent";"ZB";"0.0"
"40703";"Oki C332 toner 46508711, 46508715 cyan";"ZB";"0.0"
