id;nazwa;info_zab;cena
"ZCBRLC3229M";"Brother  LC 3239 magenta";"0.0";"0.0"
"ZCBRLC3229Y";"Brother  LC 3239 yellow";"0.0";"0.0"
"ZCBRLC3617B";"Brother  LC 3617 black";"0.0";"0.0"
"ZCBRLC3617C";"Brother  LC 3617 cyan";"0.0";"0.0"
"ZCBRLC3617M";"Brother  LC 3617 magenta";"0.0";"0.0"
"ZCBRLC3617Y";"Brother  LC 3617 yellow";"0.0";"0.0"
"ZCBRLC3619B";"Brother  LC 3619 black";"0.0";"0.0"
"ZCBRLC3619C";"Brother  LC 3619 cyan";"0.0";"0.0"
"ZCBRLC3619M";"Brother  LC 3619 magenta";"0.0";"0.0"
"ZCBRLC3619Y";"Brother  LC 3619 yellow";"0.0";"0.0"
"ZBRLC462B";"Brother  LC 462 black";"0.0";"0.0"
"ZBRLC462C";"Brother  LC 462 cyan";"0.0";"0.0"
"ZBRLC462M";"Brother  LC 462 magenta";"0.0";"0.0"
"ZBRLC462Y";"Brother  LC 462 yellow";"0.0";"0.0"
"ZBRLC462XLB";"Brother  LC 462XL black";"0.0";"0.0"
"ZBRLC462XLC";"Brother  LC 462XL cyan";"0.0";"0.0"
"ZBRLC462XLM";"Brother  LC 462XL magenta";"0.0";"0.0"
"ZBRLC472XLY";"Brother  LC 462XL yellow";"0.0";"0.0"
"ZCBRLC525XLC";"Brother  LC 525XL cyan";"0.0";"0.0"
"ZCBRLC525XLM";"Brother  LC 525XL magenta";"0.0";"0.0"
"ZCBRLC525XLY";"Brother  LC 525XL yellow";"0.0";"0.0"
"ZCBRLC529XLC";"Brother  LC 529XL black";"0.0";"0.0"
"ZBRLC900B";"Brother  LC 900 black";"0.0";"0.0"
"ZBRLC900C";"Brother  LC 900 cyan";"0.0";"0.0"
"ZBRLC900M";"Brother  LC 900 magenta";"0.0";"0.0"
"ZBRLC900Y";"Brother  LC 900 yellow";"0.0";"0.0"
"ZBRLC970B";"Brother  LC 970 black";"0.0";"0.0"
"ZBRLC970C";"Brother  LC 970 cyan";"0.0";"0.0"
"ZBRLC970M";"Brother  LC 970 magenta";"0.0";"0.0"
"ZBRLC970Y";"Brother  LC 970 yellow";"0.0";"0.0"
"ZCBRLC980B";"Brother  LC 980 black";"0.0";"0.0"
"ZCBRLC980C";"Brother  LC 980 cyan";"0.0";"0.0"
"ZCBRLC980M";"Brother  LC 980 magenta";"0.0";"0.0"
"ZCBRLC980Y";"Brother  LC 980 yellow";"0.0";"0.0"
"ZCBRLC985B";"Brother  LC 985 black";"0.0";"0.0"
"ZCBRLC985C";"Brother  LC 985 cyan";"0.0";"0.0"
"ZCBRLC985M";"Brother  LC 985 magenta";"0.0";"0.0"
"ZCBRLC985Y";"Brother  LC 985 yellow";"0.0";"0.0"
"ZGCABC01B";"Canon BC-01";"ZB";"0.0"
"ZGCABC02B";"Canon BC-02";"ZB";"0.0"
"ZGCABC02BI";"Canon BC-02 NV";"ZB";"0.0"
"bc05";"Canon BC-05";"ZB";"0.0"
"ZGCABC20";"Canon BC-20";"ZB";"0.0"
"ZCABC23";"Canon BC-23";"ZB";"0.0"
"ZCABCI10";"Canon BCI-10 black";"ZB";"0.0"
"ZCABCI11B";"Canon BCI-11 black";"ZB";"0.0"
"ZCABCI11C";"Canon BCI-11 color";"ZB";"0.0"
"ZCABCI16C";"Canon BCI-16 color";"ZB";"0.0"
"ZCABCI21B";"Canon BCI-21 black";"ZB";"0.0"
"ZCABCI21C";"Canon BCI-21 color";"ZB";"0.0"
"ZCABCI22E";"Canon BCI-22e";"ZB";"0.0"
"ZCABCI24";"Canon BCI-24";"ZB";"0.0"
